onet_code,occupation,human_beta,job_zone,employment_2024,employment_growth_pct,openings_annual,gpt_percentile,gpt_high,openings_rank,growth_rank,labor_market_score,valid_routes,good_transitions,transition_score,usable_for_model,target_label,ability_Arm-Hand Steadiness,ability_Auditory Attention,ability_Category Flexibility,ability_Control Precision,ability_Deductive Reasoning,ability_Depth Perception,ability_Dynamic Flexibility,ability_Dynamic Strength,ability_Explosive Strength,ability_Extent Flexibility,ability_Far Vision,ability_Finger Dexterity,ability_Flexibility of Closure,ability_Fluency of Ideas,ability_Glare Sensitivity,ability_Gross Body Coordination,ability_Gross Body Equilibrium,ability_Hearing Sensitivity,ability_Inductive Reasoning,ability_Information Ordering,ability_Manual Dexterity,ability_Mathematical Reasoning,ability_Memorization,ability_Multilimb Coordination,ability_Near Vision,ability_Night Vision,ability_Number Facility,ability_Oral Comprehension,ability_Oral Expression,ability_Originality,ability_Perceptual Speed,ability_Peripheral Vision,ability_Problem Sensitivity,ability_Rate Control,ability_Reaction Time,ability_Response Orientation,ability_Selective Attention,ability_Sound Localization,ability_Spatial Orientation,ability_Speech Clarity,ability_Speech Recognition,ability_Speed of Closure,ability_Speed of Limb Movement,ability_Stamina,ability_Static Strength,ability_Time Sharing,ability_Trunk Strength,ability_Visual Color Discrimination,ability_Visualization,ability_Wrist-Finger Speed,ability_Written Comprehension,ability_Written Expression,style_Achievement Orientation,style_Adaptability,style_Attention to Detail,style_Cautiousness,style_Cooperation,style_Dependability,style_Empathy,style_Humility,style_Initiative,style_Innovation,style_Integrity,style_Intellectual Curiosity,style_Leadership Orientation,style_Optimism,style_Perseverance,style_Self-Confidence,style_Self-Control,style_Sincerity,style_Social Orientation,style_Stress Tolerance,style_Tolerance for Ambiguity,context_Contact With Others,context_Face-to-Face Discussions with Individuals and Within Teams,context_Freedom to Make Decisions,context_Importance of Being Exact or Accurate,context_Physical Proximity,context_Spend Time Making Repetitive Motions,context_Time Pressure,transferable_Complex Problem Solving,transferable_Coordination,transferable_Equipment Maintenance,transferable_Equipment Selection,transferable_Installation,transferable_Instructing,transferable_Judgment and Decision Making,transferable_Management of Financial Resources,transferable_Management of Material Resources,transferable_Management of Personnel Resources,transferable_Negotiation,transferable_Operation and Control,transferable_Operations Analysis,transferable_Operations Monitoring,transferable_Persuasion,transferable_Programming,transferable_Quality Control Analysis,transferable_Repairing,transferable_Service Orientation,transferable_Social Perceptiveness,transferable_Systems Analysis,transferable_Systems Evaluation,transferable_Technology Design,transferable_Time Management,transferable_Troubleshooting
11-3031.00,Financial Managers,0.4259259259259259,4,868.6,14.8,74.6,68.47237269772481,False,0.9203683640303358,0.9609967497291441,0.9406825568797399,5,0,0.0,True,Nicht hoch GPT-exponiert,0.88,1.62,3.5,0.38,4.62,0.62,0.0,0.0,0.0,0.0,2.12,1.12,3.38,3.5,0.0,0.0,0.0,1.0,4.12,3.5,0.88,3.75,2.62,0.0,4.12,0.12,4.25,4.5,4.62,3.12,2.62,0.25,4.0,0.0,0.0,0.0,2.62,0.25,0.0,4.0,3.88,3.0,0.0,0.25,0.0,2.0,1.38,0.62,2.12,1.62,4.62,4.12,2.17,1.22,2.74,2.28,1.53,2.65,0.86,0.19,1.62,0.97,2.89,1.75,2.46,0.95,1.8,1.9,1.84,1.09,1.95,1.8,1.39,4.19,4.91,4.12,4.69,2.73,2.38,4.54,3.88,3.75,0.0,0.38,0.0,3.38,3.88,3.62,2.12,4.0,3.75,0.12,1.12,1.38,3.75,1.62,1.5,0.0,3.62,3.75,3.25,3.25,0.88,3.75,0.38
11-3031.01,Treasurers and Controllers,0.4078947368421052,4,868.6,14.8,74.6,66.19718309859155,False,0.9203683640303358,0.9609967497291441,0.9406825568797399,5,0,0.0,True,Nicht hoch GPT-exponiert,0.0,1.12,3.88,0.0,4.62,0.62,0.0,0.25,0.0,0.0,2.62,2.0,3.0,3.62,0.0,0.0,0.0,1.12,4.38,3.88,0.12,4.25,2.75,0.0,4.12,0.0,4.38,4.12,4.88,3.5,3.12,0.0,4.62,0.0,0.0,0.0,2.62,0.0,0.0,3.75,3.75,3.12,0.0,0.0,0.0,2.0,0.88,1.25,2.62,0.38,4.38,4.12,2.28,1.26,3.0,2.62,1.28,2.93,0.34,0.0,1.82,0.97,2.93,2.08,2.58,0.28,1.77,1.87,1.7,0.98,1.18,1.61,1.24,4.52,4.92,4.36,4.64,2.52,2.76,4.36,4.38,3.62,0.0,0.0,0.0,3.12,4.62,5.0,3.0,3.75,3.12,0.12,3.12,1.12,3.75,1.0,1.38,0.0,2.75,3.62,4.25,4.25,0.62,4.0,0.0
11-3031.03,Investment Fund Managers,0.5285714285714286,5,868.6,14.8,74.6,84.12784398699891,True,0.9203683640303358,0.9609967497291441,0.9406825568797399,5,0,0.0,True,Hoch GPT-exponiert mit begrenzten Wechseloptionen,0.0,1.5,3.75,0.0,4.38,0.88,0.0,0.0,0.0,0.0,2.88,1.88,3.5,3.62,0.0,0.0,0.0,1.62,4.12,3.88,0.0,4.25,3.0,0.0,3.88,0.0,4.25,4.38,4.25,3.5,3.0,0.0,4.25,0.0,0.0,0.0,3.25,0.0,0.0,3.75,3.75,3.12,0.0,0.0,0.0,2.88,0.0,1.75,2.75,0.0,4.38,4.38,2.6,1.86,3.0,1.96,0.85,2.62,0.35,-0.7,1.93,1.28,2.89,2.58,2.22,0.66,2.23,2.24,2.06,0.5,1.31,2.24,2.08,4.23,4.77,4.53,4.24,2.64,2.38,4.01,3.88,3.12,0.0,0.0,0.0,2.88,4.25,3.0,2.12,3.38,3.5,0.0,1.62,1.5,3.5,1.12,0.75,0.0,3.0,3.38,3.75,3.75,1.38,3.88,0.0
11-3051.00,Industrial Production Managers,0.3484848484848485,4,241.9,1.9,17.1,56.01300108342362,False,0.7275189599133262,0.39219934994582883,0.5598591549295775,5,1,0.2,True,Nicht hoch GPT-exponiert,2.25,2.88,3.88,2.25,4.25,2.0,0.0,1.0,0.62,1.5,2.88,2.5,3.25,4.0,0.38,1.5,0.5,1.75,4.0,4.0,1.75,3.62,2.88,1.75,3.5,0.38,3.25,4.25,4.12,3.88,3.0,0.38,4.12,2.12,2.25,1.0,3.12,0.62,0.88,3.75,3.62,2.88,1.12,1.62,1.5,2.88,2.38,2.88,3.25,1.88,4.0,4.0,2.17,1.83,2.57,1.99,1.63,2.62,0.75,0.47,2.0,1.36,1.96,1.26,2.74,0.9,1.94,1.87,1.7,0.94,1.29,1.99,1.14,4.69,4.79,4.39,4.47,3.24,1.92,4.2,3.88,4.0,1.38,2.0,0.0,3.62,4.38,4.0,4.0,4.25,3.75,3.12,2.88,3.5,3.62,0.75,3.88,1.62,3.12,3.88,3.88,3.75,1.12,4.12,2.25
11-3051.01,Quality Control Systems Managers,0.4716981132075472,4,241.9,1.9,17.1,74.86457204767063,False,0.7275189599133262,0.39219934994582883,0.5598591549295775,5,1,0.2,True,Nicht hoch GPT-exponiert,2.38,2.38,3.38,2.38,4.25,2.25,0.0,0.38,0.0,0.5,3.12,2.25,4.0,3.75,0.0,0.38,0.12,2.25,4.38,3.75,2.25,3.25,3.0,1.5,3.88,0.0,3.12,4.25,4.12,3.12,3.5,0.0,4.62,0.62,0.88,0.5,3.25,0.12,0.38,3.62,3.75,3.25,0.0,0.5,0.38,2.88,1.5,3.0,3.0,1.25,4.12,4.12,2.14,1.65,3.0,2.74,1.84,2.93,0.56,0.5,1.86,1.23,2.55,2.08,2.43,0.28,2.04,1.76,1.7,1.28,1.13,1.8,0.22,4.83,4.76,4.23,4.33,2.92,1.94,4.32,4.12,3.88,1.5,1.38,0.0,3.62,4.12,3.0,2.75,3.5,3.12,3.0,3.0,3.5,3.5,1.25,4.12,1.12,3.25,3.75,3.88,4.0,1.62,3.75,2.75
11-3061.00,Purchasing Managers,0.4714285714285714,4,83.5,3.1,6.4,74.75622968580716,False,0.5173347778981582,0.5216684723726978,0.519501625135428,5,2,0.4,True,Nicht hoch GPT-exponiert,0.0,2.0,3.5,0.0,4.0,1.12,0.0,0.62,0.0,0.0,2.5,0.0,3.0,3.88,0.0,0.0,0.0,2.0,3.88,3.88,0.0,3.62,2.75,0.0,3.75,0.0,3.38,4.0,4.12,3.75,3.0,0.0,3.88,0.0,0.0,0.0,3.12,0.0,0.0,3.75,4.0,2.75,0.0,0.0,0.0,2.62,1.12,1.88,2.0,0.5,4.12,4.0,1.98,1.48,2.44,2.06,1.84,2.65,0.62,0.24,1.66,1.02,2.4,1.2,2.37,0.66,1.74,2.12,1.7,0.92,1.65,1.35,1.2,4.58,4.61,4.21,4.26,2.37,2.58,4.16,3.25,3.88,0.0,0.0,0.0,3.88,3.75,3.62,3.88,4.0,4.0,0.0,2.75,1.88,4.12,1.25,1.75,0.0,3.88,4.0,3.88,3.75,1.38,4.0,1.12
11-3071.00,"Transportation, Storage, and Distribution Managers",0.4732142857142857,4,216.7,6.1,18.5,75.18959913326111,False,0.7432286023835319,0.8022751895991332,0.7727518959913326,5,1,0.2,True,Nicht hoch GPT-exponiert,1.12,2.12,3.38,1.12,3.75,1.5,0.0,0.5,0.0,0.0,3.0,1.25,3.0,3.5,0.88,0.0,0.0,1.88,3.5,3.38,1.0,2.88,2.5,0.75,3.5,1.12,3.0,3.75,4.12,3.25,2.88,1.12,3.75,0.88,0.88,0.88,3.0,0.88,1.38,3.5,3.38,2.88,0.0,0.0,0.0,2.75,1.88,2.25,2.5,1.62,3.88,3.75,2.11,2.02,2.37,1.99,1.77,2.65,0.79,0.47,2.03,1.25,2.43,1.17,2.58,0.69,1.97,1.83,1.7,0.78,1.24,1.86,1.33,4.62,4.79,4.16,4.08,2.89,2.66,4.38,3.62,3.88,0.12,0.12,0.12,3.38,3.5,3.12,3.0,3.38,3.62,1.62,1.88,2.5,3.62,1.12,2.25,0.0,3.12,3.38,3.5,3.5,1.12,3.75,1.12
11-3071.04,Supply Chain Managers,0.4727272727272727,4,216.7,6.1,18.5,75.08125677139762,False,0.7432286023835319,0.8022751895991332,0.7727518959913326,5,0,0.0,True,Nicht hoch GPT-exponiert,0.0,1.75,3.75,0.12,3.88,1.38,0.0,0.0,0.0,0.0,3.0,1.38,3.0,3.25,0.0,0.0,0.0,1.88,3.88,3.75,0.0,3.5,2.25,0.0,3.5,0.0,3.12,4.12,4.12,3.25,2.88,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.25,3.38,2.5,0.0,0.0,0.0,2.88,0.75,2.12,2.88,0.38,4.25,4.0,2.14,2.3,2.44,1.82,1.63,2.65,0.54,0.56,2.03,1.72,2.17,1.48,2.25,0.64,1.9,1.76,1.56,0.72,1.27,1.8,1.49,4.57,4.9,4.05,4.0,3.05,2.19,4.43,4.0,4.0,0.0,0.0,0.0,3.25,4.0,3.0,3.75,3.88,3.75,0.0,2.38,1.88,3.62,0.88,1.62,0.0,3.12,3.88,3.75,3.88,1.38,4.0,0.88
11-3111.00,Compensation and Benefits Managers,0.4605263157894737,4,20.9,0.2,1.5,73.45612134344529,False,0.21451787648970747,0.2768147345612134,0.24566630552546043,5,0,0.0,True,Nicht hoch GPT-exponiert,0.25,1.0,3.12,0.0,3.5,0.0,0.0,0.25,0.0,0.0,2.12,0.12,2.38,3.38,0.0,0.0,0.0,0.62,3.5,3.12,0.0,3.38,2.0,0.0,3.38,0.0,3.38,4.12,4.12,3.12,2.12,0.0,3.5,0.0,0.0,0.0,2.0,0.0,0.0,3.88,3.62,2.25,0.0,0.0,0.0,2.0,1.25,0.88,1.62,0.62,4.25,4.12,1.8,1.22,2.63,2.06,1.84,2.65,1.07,0.58,1.69,1.02,2.43,1.68,2.07,0.66,1.58,1.76,1.77,1.19,1.49,1.49,1.2,4.43,4.74,4.33,4.1,2.25,2.95,3.62,3.25,3.5,0.0,0.0,0.0,3.12,4.0,3.75,1.75,3.75,3.25,0.0,2.88,0.5,3.38,0.88,0.88,0.0,3.12,3.88,3.75,3.88,0.62,3.75,0.0
11-3121.00,Human Resources Managers,0.45,4,221.9,5.0,17.9,72.10184182015168,False,0.7323943661971831,0.7345612134344529,0.733477789815818,5,0,0.0,True,Nicht hoch GPT-exponiert,0.12,2.0,3.62,0.12,4.25,0.5,0.0,0.38,0.0,0.0,2.88,0.62,3.0,4.12,0.0,0.0,0.0,1.12,4.0,3.38,0.12,3.25,3.0,0.0,4.0,0.0,3.25,4.25,4.5,4.0,2.62,0.0,4.0,0.0,0.0,0.0,2.88,0.0,0.12,4.5,4.62,3.12,0.0,0.0,0.0,2.25,1.25,1.0,2.0,1.12,4.38,4.12,1.86,1.94,2.14,1.63,2.3,2.65,2.17,1.22,1.93,0.99,2.93,1.2,2.46,1.29,1.97,1.83,2.14,1.9,2.31,2.1,1.47,4.68,4.81,4.27,4.09,2.73,2.55,3.91,4.0,4.0,0.0,0.0,0.0,4.0,4.25,4.0,2.62,4.75,4.0,0.25,2.25,0.5,3.88,1.38,1.0,0.0,3.88,4.12,3.25,4.0,0.5,4.12,0.0
11-3131.00,Training and Development Managers,0.4772727272727273,4,46.4,5.8,3.8,76.1646803900325,False,0.3916576381365114,0.7833152762730228,0.5874864572047671,5,1,0.2,True,Nicht hoch GPT-exponiert,0.5,1.75,3.75,0.25,3.88,0.62,0.0,0.38,0.0,0.0,3.5,1.12,2.88,4.0,0.0,0.0,0.0,1.25,3.88,3.88,0.62,2.75,3.0,0.0,3.75,0.0,2.62,4.25,4.75,3.88,2.88,0.0,4.0,0.0,0.0,0.0,2.88,0.0,0.0,4.88,3.88,2.88,0.0,0.12,0.0,2.38,1.25,2.0,2.62,0.5,4.0,4.75,2.14,2.34,2.02,0.9,2.3,2.65,1.89,1.03,2.03,2.42,1.89,2.2,2.4,1.78,1.77,1.73,1.7,1.6,2.24,1.38,1.43,4.5,4.78,4.36,3.43,3.11,2.54,3.64,4.0,3.75,0.0,0.0,0.0,4.75,3.88,3.62,3.0,4.0,3.0,0.0,3.25,0.88,3.75,0.75,1.88,0.0,3.75,3.75,3.75,3.88,0.75,3.88,0.0
